export_date,activity_id,activity_name,start_time_local,activity_type,distance_miles,duration_mins,calories,average_hr,steps
2024-07-10,16345727520,Pilates,2024-07-10T13:52:02.0,pilates,0.0,24.95,84.0,107.0,48
2024-07-10,16346067684,Recovery,2024-07-10T14:21:38.0,treadmill_running,1.59,22.09,163.0,157.0,3100
