export_date,activity_id,activity_name,start_time_local,activity_type,distance_miles,duration_mins,calories,average_hr,steps
2024-06-25,16095172251,Pilates,2024-06-25T12:38:50.0,pilates,0.0,33.6,95.0,101.0,144
2024-06-25,16095649583,Treadmill Running,2024-06-25T13:36:16.0,treadmill_running,1.14,13.01,100.0,162.0,1950
