export_date,activity_id,activity_name,start_time_local,activity_type,distance_miles,duration_mins,calories,average_hr,steps
2024-06-19,16000690624,Treadmill Running,2024-06-19T21:18:37.0,treadmill_running,1.05,10.58,62.0,132.0,1668
2024-06-19,16000850569,Base,2024-06-19T21:30:24.0,treadmill_running,2.19,30.1,243.0,167.0,4130
